gene,term_id
ABHD5,REACTOME:R-HSA-1430728
ABHD5,REACTOME:R-HSA-163560
ABHD5,REACTOME:R-HSA-556833
ABHD5,REACTOME:R-HSA-8979227
ACTB,REACTOME:R-HSA-109582
ACTB,REACTOME:R-HSA-1169410
ACTB,REACTOME:R-HSA-1266738
ACTB,REACTOME:R-HSA-1280215
ACTB,REACTOME:R-HSA-1445148
ACTB,REACTOME:R-HSA-1474244
ACTB,REACTOME:R-HSA-1500931
ACTB,REACTOME:R-HSA-157858
ACTB,REACTOME:R-HSA-162582
ACTB,REACTOME:R-HSA-1643685
ACTB,REACTOME:R-HSA-168249
ACTB,REACTOME:R-HSA-168256
ACTB,REACTOME:R-HSA-190828
ACTB,REACTOME:R-HSA-190873
ACTB,REACTOME:R-HSA-194138
ACTB,REACTOME:R-HSA-194315
ACTB,REACTOME:R-HSA-195258
ACTB,REACTOME:R-HSA-196025
ACTB,REACTOME:R-HSA-199991
ACTB,REACTOME:R-HSA-2029480
ACTB,REACTOME:R-HSA-2029482
ACTB,REACTOME:R-HSA-212165
ACTB,REACTOME:R-HSA-2682334
ACTB,REACTOME:R-HSA-3000171
ACTB,REACTOME:R-HSA-3214847
ACTB,REACTOME:R-HSA-3247509
ACTB,REACTOME:R-HSA-373760
ACTB,REACTOME:R-HSA-389957
ACTB,REACTOME:R-HSA-389958
ACTB,REACTOME:R-HSA-390450
ACTB,REACTOME:R-HSA-390466
ACTB,REACTOME:R-HSA-391251
ACTB,REACTOME:R-HSA-392499
ACTB,REACTOME:R-HSA-3928662
ACTB,REACTOME:R-HSA-3928665
ACTB,REACTOME:R-HSA-418990
ACTB,REACTOME:R-HSA-421270
ACTB,REACTOME:R-HSA-422475
ACTB,REACTOME:R-HSA-428359
ACTB,REACTOME:R-HSA-437239
ACTB,REACTOME:R-HSA-4420097
ACTB,REACTOME:R-HSA-445095
ACTB,REACTOME:R-HSA-446353
ACTB,REACTOME:R-HSA-446728
ACTB,REACTOME:R-HSA-4839726
ACTB,REACTOME:R-HSA-5250913
ACTB,REACTOME:R-HSA-5250924
ACTB,REACTOME:R-HSA-5626467
ACTB,REACTOME:R-HSA-5653656
ACTB,REACTOME:R-HSA-5663202
ACTB,REACTOME:R-HSA-5663205
ACTB,REACTOME:R-HSA-5663213
ACTB,REACTOME:R-HSA-5663220
ACTB,REACTOME:R-HSA-5673001
ACTB,REACTOME:R-HSA-5674135
ACTB,REACTOME:R-HSA-5683057
ACTB,REACTOME:R-HSA-5684996
ACTB,REACTOME:R-HSA-5688426
ACTB,REACTOME:R-HSA-5689603
ACTB,REACTOME:R-HSA-5696394
ACTB,REACTOME:R-HSA-5696398
ACTB,REACTOME:R-HSA-5696399
ACTB,REACTOME:R-HSA-597592
ACTB,REACTOME:R-HSA-6802946
ACTB,REACTOME:R-HSA-6802948
ACTB,REACTOME:R-HSA-6802949
ACTB,REACTOME:R-HSA-6802952
ACTB,REACTOME:R-HSA-6802955
ACTB,REACTOME:R-HSA-6802957
ACTB,REACTOME:R-HSA-73894
ACTB,REACTOME:R-HSA-74160
ACTB,REACTOME:R-HSA-8856828
ACTB,REACTOME:R-HSA-8953854
ACTB,REACTOME:R-HSA-9006934
ACTB,REACTOME:R-HSA-9012999
ACTB,REACTOME:R-HSA-9035034
ACTB,REACTOME:R-HSA-913531
ACTB,REACTOME:R-HSA-9649948
ACTB,REACTOME:R-HSA-9656223
ACTB,REACTOME:R-HSA-9658195
ACTB,REACTOME:R-HSA-9659379
ACTB,REACTOME:R-HSA-9662360
ACTB,REACTOME:R-HSA-9662361
ACTB,REACTOME:R-HSA-9664407
ACTB,REACTOME:R-HSA-9664417
ACTB,REACTOME:R-HSA-9664422
ACTB,REACTOME:R-HSA-9675108
ACTB,REACTOME:R-HSA-9709957
ACTB,REACTOME:R-HSA-9716542
ACTB,REACTOME:R-HSA-9730414
ACTB,REACTOME:R-HSA-9759476
ACTB,REACTOME:R-HSA-9764265
ACTB,REACTOME:R-HSA-9764274
ACTB,REACTOME:R-HSA-9764561
ACTB,REACTOME:R-HSA-9824443
ACTB,REACTOME:R-HSA-9824585
ACTB,REACTOME:R-HSA-983231
ACTB,REACTOME:R-HSA-9842860
ACTB,REACTOME:R-HSA-9845323
ACTB,REACTOME:R-HSA-9856651
ACTB,REACTOME:R-HSA-9913351
ACTB,REACTOME:R-HSA-9932444
ACTB,REACTOME:R-HSA-9932451
ACTB,REACTOME:R-HSA-9933937
ACTB,REACTOME:R-HSA-9933939
ACTB,REACTOME:R-HSA-9933946
ACTB,REACTOME:R-HSA-9933947
ACTB,REACTOME:R-HSA-9934037
ACTB,REACTOME:R-HSA-9953170
AGPAT4,REACTOME:R-HSA-1430728
AGPAT4,REACTOME:R-HSA-1483166
AGPAT4,REACTOME:R-HSA-1483206
AGPAT4,REACTOME:R-HSA-1483257
AGPAT4,REACTOME:R-HSA-556833
ALCAM,REACTOME:R-HSA-1266738
ALCAM,REACTOME:R-HSA-373760
ALCAM,REACTOME:R-HSA-422475
ALCAM,REACTOME:R-HSA-9675108
ALOX5AP,REACTOME:R-HSA-1430728
ALOX5AP,REACTOME:R-HSA-2142688
ALOX5AP,REACTOME:R-HSA-2142691
ALOX5AP,REACTOME:R-HSA-2142700
ALOX5AP,REACTOME:R-HSA-2142753
ALOX5AP,REACTOME:R-HSA-556833
ALOX5AP,REACTOME:R-HSA-8978868
ALOX5AP,REACTOME:R-HSA-9018678
APP,REACTOME:R-HSA-109582
APP,REACTOME:R-HSA-114608
APP,REACTOME:R-HSA-1280215
APP,REACTOME:R-HSA-1474244
APP,REACTOME:R-HSA-162582
APP,REACTOME:R-HSA-1643685
APP,REACTOME:R-HSA-166016
APP,REACTOME:R-HSA-166058
APP,REACTOME:R-HSA-166166
APP,REACTOME:R-HSA-168138
APP,REACTOME:R-HSA-168142
APP,REACTOME:R-HSA-168164
APP,REACTOME:R-HSA-168176
APP,REACTOME:R-HSA-168179
APP,REACTOME:R-HSA-168181
APP,REACTOME:R-HSA-168188
APP,REACTOME:R-HSA-168249
APP,REACTOME:R-HSA-168256
APP,REACTOME:R-HSA-168643
APP,REACTOME:R-HSA-168898
APP,REACTOME:R-HSA-168928
APP,REACTOME:R-HSA-181438
APP,REACTOME:R-HSA-199991
APP,REACTOME:R-HSA-199992
APP,REACTOME:R-HSA-3000178
APP,REACTOME:R-HSA-372790
APP,REACTOME:R-HSA-373076
APP,REACTOME:R-HSA-375276
APP,REACTOME:R-HSA-381426
APP,REACTOME:R-HSA-388396
APP,REACTOME:R-HSA-392499
APP,REACTOME:R-HSA-416476
APP,REACTOME:R-HSA-418594
APP,REACTOME:R-HSA-432720
APP,REACTOME:R-HSA-444473
APP,REACTOME:R-HSA-445989
APP,REACTOME:R-HSA-446652
APP,REACTOME:R-HSA-449147
APP,REACTOME:R-HSA-500792
APP,REACTOME:R-HSA-5653656
APP,REACTOME:R-HSA-5663205
APP,REACTOME:R-HSA-597592
APP,REACTOME:R-HSA-622312
APP,REACTOME:R-HSA-76002
APP,REACTOME:R-HSA-76005
APP,REACTOME:R-HSA-844456
APP,REACTOME:R-HSA-879415
APP,REACTOME:R-HSA-8862803
APP,REACTOME:R-HSA-8863678
APP,REACTOME:R-HSA-8957275
APP,REACTOME:R-HSA-9020702
APP,REACTOME:R-HSA-933542
APP,REACTOME:R-HSA-937061
APP,REACTOME:R-HSA-9609507
APP,REACTOME:R-HSA-9609523
APP,REACTOME:R-HSA-9645723
APP,REACTOME:R-HSA-9658195
APP,REACTOME:R-HSA-9660826
APP,REACTOME:R-HSA-9664424
APP,REACTOME:R-HSA-9734009
APP,REACTOME:R-HSA-975138
APP,REACTOME:R-HSA-975155
APP,REACTOME:R-HSA-975871
APP,REACTOME:R-HSA-977225
APP,REACTOME:R-HSA-9824443
APP,REACTOME:R-HSA-9837999
ATP1B3,REACTOME:R-HSA-109582
ATP1B3,REACTOME:R-HSA-1643685
ATP1B3,REACTOME:R-HSA-202733
ATP1B3,REACTOME:R-HSA-210991
ATP1B3,REACTOME:R-HSA-382551
ATP1B3,REACTOME:R-HSA-397014
ATP1B3,REACTOME:R-HSA-5576891
ATP1B3,REACTOME:R-HSA-5578775
ATP1B3,REACTOME:R-HSA-5663205
ATP1B3,REACTOME:R-HSA-936837
ATP1B3,REACTOME:R-HSA-9679191
ATP1B3,REACTOME:R-HSA-9679506
ATP1B3,REACTOME:R-HSA-9824446
ATP1B3,REACTOME:R-HSA-983712
ATP6V1C1,REACTOME:R-HSA-1222556
ATP6V1C1,REACTOME:R-HSA-1266738
ATP6V1C1,REACTOME:R-HSA-162582
ATP6V1C1,REACTOME:R-HSA-168249
ATP6V1C1,REACTOME:R-HSA-168256
ATP6V1C1,REACTOME:R-HSA-2262752
ATP6V1C1,REACTOME:R-HSA-382551
ATP6V1C1,REACTOME:R-HSA-74752
ATP6V1C1,REACTOME:R-HSA-77387
ATP6V1C1,REACTOME:R-HSA-8953897
ATP6V1C1,REACTOME:R-HSA-9006934
ATP6V1C1,REACTOME:R-HSA-917937
ATP6V1C1,REACTOME:R-HSA-917977
ATP6V1C1,REACTOME:R-HSA-9639288
ATP6V1C1,REACTOME:R-HSA-9711097
ATP6V1C1,REACTOME:R-HSA-9730414
ATP6V1C1,REACTOME:R-HSA-983712
ATP6V1C1,REACTOME:R-HSA-9856651
ATP6V1C1,REACTOME:R-HSA-9857377
B3GNT2,REACTOME:R-HSA-1430728
B3GNT2,REACTOME:R-HSA-1630316
B3GNT2,REACTOME:R-HSA-1638074
B3GNT2,REACTOME:R-HSA-2022854
B3GNT2,REACTOME:R-HSA-392499
B3GNT2,REACTOME:R-HSA-5173105
B3GNT2,REACTOME:R-HSA-597592
B3GNT2,REACTOME:R-HSA-71387
B3GNT2,REACTOME:R-HSA-913709
BCL2L1,REACTOME:R-HSA-109581
BCL2L1,REACTOME:R-HSA-109606
BCL2L1,REACTOME:R-HSA-111453
BCL2L1,REACTOME:R-HSA-1280215
BCL2L1,REACTOME:R-HSA-162582
BCL2L1,REACTOME:R-HSA-1643685
BCL2L1,REACTOME:R-HSA-168249
BCL2L1,REACTOME:R-HSA-168256
BCL2L1,REACTOME:R-HSA-168643
BCL2L1,REACTOME:R-HSA-2262752
BCL2L1,REACTOME:R-HSA-449147
BCL2L1,REACTOME:R-HSA-5357801
BCL2L1,REACTOME:R-HSA-5663202
BCL2L1,REACTOME:R-HSA-5663205
BCL2L1,REACTOME:R-HSA-5673001
BCL2L1,REACTOME:R-HSA-5683057
BCL2L1,REACTOME:R-HSA-5684996
BCL2L1,REACTOME:R-HSA-622312
BCL2L1,REACTOME:R-HSA-6785807
BCL2L1,REACTOME:R-HSA-844455
BCL2L1,REACTOME:R-HSA-8953897
BCL2L1,REACTOME:R-HSA-9648002
BCL2L1,REACTOME:R-HSA-9678108
BCL2L1,REACTOME:R-HSA-9679506
BCL2L1,REACTOME:R-HSA-9682385
BCL2L1,REACTOME:R-HSA-9692913
BCL2L1,REACTOME:R-HSA-9692914
BCL2L1,REACTOME:R-HSA-9702518
BCL2L1,REACTOME:R-HSA-9703648
BCL2L1,REACTOME:R-HSA-9711123
BCL2L1,REACTOME:R-HSA-9755511
BCL2L1,REACTOME:R-HSA-9759194
BCL2L1,REACTOME:R-HSA-9818030
BCL2L1,REACTOME:R-HSA-9824446
BST1,REACTOME:R-HSA-1430728
BST1,REACTOME:R-HSA-163125
BST1,REACTOME:R-HSA-168249
BST1,REACTOME:R-HSA-168256
BST1,REACTOME:R-HSA-196807
BST1,REACTOME:R-HSA-196849
BST1,REACTOME:R-HSA-196854
BST1,REACTOME:R-HSA-392499
BST1,REACTOME:R-HSA-597592
BST1,REACTOME:R-HSA-6798695
CD300LF,REACTOME:R-HSA-1280218
CD300LF,REACTOME:R-HSA-168256
CD300LF,REACTOME:R-HSA-198933
CD44,REACTOME:R-HSA-109582
CD44,REACTOME:R-HSA-1280215
CD44,REACTOME:R-HSA-1430728
CD44,REACTOME:R-HSA-1474228
CD44,REACTOME:R-HSA-1474244
CD44,REACTOME:R-HSA-1630316
CD44,REACTOME:R-HSA-168249
CD44,REACTOME:R-HSA-168256
CD44,REACTOME:R-HSA-202733
CD44,REACTOME:R-HSA-2142845
CD44,REACTOME:R-HSA-216083
CD44,REACTOME:R-HSA-2160916
CD44,REACTOME:R-HSA-428359
CD44,REACTOME:R-HSA-6798695
CD44,REACTOME:R-HSA-71387
CD44,REACTOME:R-HSA-877300
CD44,REACTOME:R-HSA-8953854
CD44,REACTOME:R-HSA-913531
CHST11,REACTOME:R-HSA-1430728
CHST11,REACTOME:R-HSA-1630316
CHST11,REACTOME:R-HSA-1793185
CHST11,REACTOME:R-HSA-2022870
CHST11,REACTOME:R-HSA-71387
CISH,REACTOME:R-HSA-1266695
CISH,REACTOME:R-HSA-1280215
CISH,REACTOME:R-HSA-168256
CISH,REACTOME:R-HSA-392499
CISH,REACTOME:R-HSA-449147
CISH,REACTOME:R-HSA-597592
CISH,REACTOME:R-HSA-8951664
CISH,REACTOME:R-HSA-982772
COX7A2,REACTOME:R-HSA-1428517
COX7A2,REACTOME:R-HSA-1430728
COX7A2,REACTOME:R-HSA-212436
COX7A2,REACTOME:R-HSA-2262752
COX7A2,REACTOME:R-HSA-3700989
COX7A2,REACTOME:R-HSA-5628897
COX7A2,REACTOME:R-HSA-611105
COX7A2,REACTOME:R-HSA-73857
COX7A2,REACTOME:R-HSA-74160
COX7A2,REACTOME:R-HSA-8953897
COX7A2,REACTOME:R-HSA-9707564
COX7A2,REACTOME:R-HSA-9711123
COX7A2,REACTOME:R-HSA-9864848
CTSD,REACTOME:R-HSA-1280218
CTSD,REACTOME:R-HSA-1442490
CTSD,REACTOME:R-HSA-1474228
CTSD,REACTOME:R-HSA-1474244
CTSD,REACTOME:R-HSA-162582
CTSD,REACTOME:R-HSA-168249
CTSD,REACTOME:R-HSA-168256
CTSD,REACTOME:R-HSA-2022377
CTSD,REACTOME:R-HSA-2132295
CTSD,REACTOME:R-HSA-2980736
CTSD,REACTOME:R-HSA-392499
CTSD,REACTOME:R-HSA-6798695
CTSD,REACTOME:R-HSA-74752
CTSD,REACTOME:R-HSA-77387
CTSD,REACTOME:R-HSA-8939211
CTSD,REACTOME:R-HSA-9006931
CTSD,REACTOME:R-HSA-9006934
CTSD,REACTOME:R-HSA-9018519
CTSS,REACTOME:R-HSA-1236975
CTSS,REACTOME:R-HSA-1236977
CTSS,REACTOME:R-HSA-1280218
CTSS,REACTOME:R-HSA-1474228
CTSS,REACTOME:R-HSA-1474244
CTSS,REACTOME:R-HSA-1474290
CTSS,REACTOME:R-HSA-1500931
CTSS,REACTOME:R-HSA-1679131
CTSS,REACTOME:R-HSA-168249
CTSS,REACTOME:R-HSA-168256
CTSS,REACTOME:R-HSA-168898
CTSS,REACTOME:R-HSA-2022090
CTSS,REACTOME:R-HSA-2132295
CTSS,REACTOME:R-HSA-418990
CTSS,REACTOME:R-HSA-421270
CTSS,REACTOME:R-HSA-446728
CTSS,REACTOME:R-HSA-6798695
CTSS,REACTOME:R-HSA-9759476
CTSS,REACTOME:R-HSA-9764265
CTSS,REACTOME:R-HSA-9764274
CTSS,REACTOME:R-HSA-9764561
CTSS,REACTOME:R-HSA-9766229
CTSS,REACTOME:R-HSA-983169
CX3CR1,REACTOME:R-HSA-162582
CX3CR1,REACTOME:R-HSA-1643685
CX3CR1,REACTOME:R-HSA-372790
CX3CR1,REACTOME:R-HSA-373076
CX3CR1,REACTOME:R-HSA-375276
CX3CR1,REACTOME:R-HSA-380108
CX3CR1,REACTOME:R-HSA-388396
CX3CR1,REACTOME:R-HSA-418594
CX3CR1,REACTOME:R-HSA-500792
CX3CR1,REACTOME:R-HSA-5663205
CX3CR1,REACTOME:R-HSA-9820952
CX3CR1,REACTOME:R-HSA-9820960
CX3CR1,REACTOME:R-HSA-9824446
CX3CR1,REACTOME:R-HSA-9833110
DHRS3,REACTOME:R-HSA-162582
DHRS3,REACTOME:R-HSA-2187335
DHRS3,REACTOME:R-HSA-2187338
DHRS3,REACTOME:R-HSA-5362517
DHRS3,REACTOME:R-HSA-5365859
DHRS3,REACTOME:R-HSA-9006931
DHRS3,REACTOME:R-HSA-9709957
FABP5,REACTOME:R-HSA-1430728
FABP5,REACTOME:R-HSA-162582
FABP5,REACTOME:R-HSA-163560
FABP5,REACTOME:R-HSA-168249
FABP5,REACTOME:R-HSA-168256
FABP5,REACTOME:R-HSA-5362517
FABP5,REACTOME:R-HSA-556833
FABP5,REACTOME:R-HSA-6798695
FABP5,REACTOME:R-HSA-8979227
FABP5,REACTOME:R-HSA-9006931
FLOT1,REACTOME:R-HSA-112316
FLOT1,REACTOME:R-HSA-162582
FLOT1,REACTOME:R-HSA-194315
FLOT1,REACTOME:R-HSA-5213460
FLOT1,REACTOME:R-HSA-5218859
FLOT1,REACTOME:R-HSA-5357801
FLOT1,REACTOME:R-HSA-5675482
FLOT1,REACTOME:R-HSA-6794362
FLOT1,REACTOME:R-HSA-8849932
FLOT1,REACTOME:R-HSA-8980692
FLOT1,REACTOME:R-HSA-9012999
FLOT1,REACTOME:R-HSA-9013026
FLOT1,REACTOME:R-HSA-9013106
FLOT1,REACTOME:R-HSA-9716542
FMNL2,REACTOME:R-HSA-162582
FMNL2,REACTOME:R-HSA-194315
FMNL2,REACTOME:R-HSA-195258
FMNL2,REACTOME:R-HSA-5663220
FMNL2,REACTOME:R-HSA-9012999
FMNL2,REACTOME:R-HSA-9013106
FMNL2,REACTOME:R-HSA-9013148
FMNL2,REACTOME:R-HSA-9716542
FN1,REACTOME:R-HSA-109582
FN1,REACTOME:R-HSA-114608
FN1,REACTOME:R-HSA-1266738
FN1,REACTOME:R-HSA-1280215
FN1,REACTOME:R-HSA-1474228
FN1,REACTOME:R-HSA-1474244
FN1,REACTOME:R-HSA-1566948
FN1,REACTOME:R-HSA-1566977
FN1,REACTOME:R-HSA-162582
FN1,REACTOME:R-HSA-1643685
FN1,REACTOME:R-HSA-168256
FN1,REACTOME:R-HSA-202733
FN1,REACTOME:R-HSA-2129379
FN1,REACTOME:R-HSA-216083
FN1,REACTOME:R-HSA-3000170
FN1,REACTOME:R-HSA-3000171
FN1,REACTOME:R-HSA-3000178
